Fe,C,Cr,Ni,Mn,S,Si,Mo,V,W,Co,Al,P,Cu,Ti,Tensile_Strength_MPa
65.6,0.71,15.16,5.69,1.15,0.01,1.38,3.66,0.04,3.38,2.07,0.12,0.02,0.58,0.42,1437.11
74.35,0.93,10.93,0.45,1.86,0.03,0.07,4.09,0.2,2.9,2.33,0.42,0.04,1.31,0.08,1407.95
61.55,1.14,16.57,13.69,0.94,0,1.58,0.38,0.07,2.69,0.8,0.01,0.02,0.41,0.16,1684.25
78.07,0.55,9.12,0.65,0.14,0.01,1.09,3.7,0.61,1.96,0.59,0.78,0.02,2.21,0.51,1108.05
52.62,0.89,16.33,18.42,1.07,0.03,0.53,4.68,0.46,0.64,2.16,0.13,0.03,1.68,0.34,1658.7
68.58,0.45,13.69,9.71,0.4,0.01,0.69,0.69,1,0.25,2.21,0.45,0.02,1.71,0.15,1028.82
65.5,0.94,5.98,11.83,1.43,0.04,1.67,3.04,0.39,2.52,3.84,0.88,0.01,1.15,0.78,1462.55
60.96,0.5,10.85,20,0.99,0.01,0.33,0.21,0.56,2.72,1.03,0.7,0.04,0.78,0.34,1111.48
59.4,1.19,6.74,15.22,0.91,0.04,1.54,3.34,0.85,4.7,2.9,0.24,0.02,2.27,0.65,1802.84
65.2,0.6,13.44,11.25,0.17,0.01,0.44,1.29,0.57,2.52,1.02,0.07,0.01,2.95,0.47,1246.01
62.46,1.04,15.28,10.23,1.41,0.01,1.38,1.36,0.83,0.42,3.87,0.1,0.04,0.91,0.65,1533.25
67.4,0.78,17.06,0.83,1.84,0.03,1.61,1.92,0.47,4.34,2.07,0.53,0,0.48,0.64,1437.47
72.29,0.86,10.49,2.87,0.89,0.02,0.99,4.35,0.78,0.42,4.45,0.47,0.04,0.42,0.67,1401.16
84.52,0.03,2.73,1.84,0.48,0.01,1.38,0.15,0.62,0.7,4.73,0.93,0.01,1.84,0.03,402.35
77.99,1.12,9.41,0.86,0.68,0,0.79,3.35,0.47,1.92,0.6,0.24,0.01,2.42,0.14,1475.59
70.11,0.28,11.51,9.14,0.8,0.03,0.98,1.52,0.56,3.35,0.13,0.47,0,0.56,0.56,972.82
68.21,1.04,15.89,1.4,0.84,0.03,0.29,3.83,0.74,4.52,0.04,0.22,0.04,2.01,0.89,1680.26
73.87,0.69,0.64,10.27,1.22,0.01,0.55,3.2,0.47,4.29,1.71,0.27,0.05,2.73,0.03,1187.29
80.51,0.93,1.99,0.55,0.55,0.01,1.64,3.55,0.98,3.56,2.09,0.7,0.05,2.13,0.76,1407.67
74.4,1.15,3.8,10.08,1.36,0.01,1.2,1.29,0.33,2.21,2.65,0.45,0.02,0.9,0.16,1511.67
68.6,0.07,3.53,11.64,1.57,0.01,0.22,3.75,0.31,4.76,3.57,0.33,0.01,1.57,0.08,823.11
66.01,0.02,12.12,8.47,1.02,0.01,1.1,4.9,0.07,1.42,1.21,0.25,0.02,2.45,0.91,887.15
61.75,0.25,9.77,12.74,1.04,0.02,0.38,2.44,0.4,3.98,3.82,0.13,0,2.72,0.54,1100.49
79.93,1.03,1.76,4.81,0.81,0.04,1.88,4.96,0.96,0.03,0.24,0.15,0.02,2.49,0.89,1507.12
60.28,0.23,11.15,18.35,0.93,0.01,0.92,1.88,0.58,2.19,0.09,0.99,0.03,1.42,0.95,994.2
63.37,0.97,4.69,15.98,0.54,0,1.03,0.98,0.76,3.21,4.62,0.78,0.01,2.4,0.64,1507.46
66.21,0.81,14.98,11.48,0.93,0.03,0.6,0.91,0.62,1.17,0.4,0,0.03,1.09,0.75,1342.49
61.67,0.49,11.71,7.12,1.93,0.05,1.7,4.6,0.45,2.68,3.71,0.7,0.04,2.15,1,1212.38
55.77,0.42,14.99,13.95,1.38,0.02,1.57,4.5,0.22,3.13,1.96,0.99,0.02,0.68,0.38,1270.5
55.16,0.73,16.76,17.01,0.14,0.05,1.4,0.81,0.01,0.86,4.19,0.02,0.01,2.27,0.59,1360.93
68.44,0.94,13.43,1.01,1.79,0.01,1.11,3.22,0.17,4.88,2.44,0.06,0.05,1.76,0.7,1603.99
73.89,0.05,4.83,9.39,0.15,0.04,0.79,1.36,0,3.6,4.17,0.4,0.03,0.68,0.62,642.37
66.03,0.02,8.8,12.88,1.84,0.02,1.53,2.99,0.93,1.99,1.6,0.89,0,0.41,0.08,804.53
74.26,0.01,7.23,3.74,1.25,0.03,0.98,0.2,0.66,4.21,3.6,0.83,0.01,2.67,0.32,672.12
52.5,0.03,15.18,18.84,1.31,0.01,0.5,2.33,0.9,0.75,4.13,0.29,0.04,2.76,0.43,948.76
60.71,0.64,12.32,12.46,0.31,0.04,0.39,4.66,0.25,3.67,1.42,0.32,0.02,2.24,0.56,1367.06
65.82,1.06,5.53,13.84,1.51,0.01,0.8,2.41,0.36,1.61,3.43,0.22,0.04,2.81,0.57,1538.19
68.19,1.04,5.14,12.3,1.96,0.03,1.45,2.23,0.06,3.99,0.17,0.7,0,2.59,0.16,1544.93
69.51,0.62,10.75,9.15,0.68,0.02,0.62,2.19,0.36,2.83,1.19,0.99,0.03,0.58,0.48,1212.96
60.78,0.21,14.71,7.38,0.59,0.04,1.28,4.49,0.63,3.7,4.18,0.05,0.04,1.84,0.07,1114.46
68.35,0.62,1.48,14.72,1.09,0.05,0.37,3.03,0.21,3.07,3.61,0.72,0.04,2.56,0.08,1185.18
72.79,0.6,3.43,11.05,0.81,0.02,1.62,2.04,0.03,0.29,4.28,0.96,0.03,1.09,0.94,1036.4
56.19,0.8,15.2,15.32,0.76,0.02,0.37,1.46,0.78,4.47,3.62,0.47,0,0.17,0.37,1599.7
60.05,0.02,17.82,7.28,1.7,0.03,0.26,3.99,0.71,2.64,2.57,0.09,0.03,2.73,0.09,886.34
65.92,0.32,16.24,5.69,1.31,0.03,1.19,2.08,0.3,0.24,3.72,0.75,0.03,1.93,0.24,907.71
77.23,0.13,1.13,6.98,1.61,0.05,1.79,4.6,0.91,2.64,1.1,0.8,0.01,0.8,0.23,788.52
76.48,0.62,5.79,3.08,0.91,0.04,1.14,4.39,0.2,0.83,2.88,0.46,0.03,2.38,0.75,1122.43
77.93,0.26,9.92,2.21,0.58,0.01,0.79,0.56,0.03,3.28,3.05,0.71,0.03,0.34,0.29,779.5
57.81,0.16,15.17,14.94,0.4,0.02,1.93,2.97,0.8,1.32,1.05,0.78,0.03,2.04,0.55,1048.82
59.49,0.33,6.35,17.43,0.62,0.03,1.41,5,0.44,2.14,4.21,0.81,0.04,1.39,0.32,1126.91
53.09,0.73,15.77,17.68,0.22,0.02,0.93,4.89,0.68,2.04,0.13,0.57,0,2.5,0.75,1500.63
79.53,1.08,5.19,4.98,1.88,0.04,1.64,0.98,0.14,0.13,1.19,0.77,0.01,2.19,0.25,1302.64
63.09,0.48,17.7,4.9,0.75,0.02,0.22,2.45,0.38,3.47,4.09,0.54,0,1.86,0.06,1246.13
51.81,0.25,14.75,18.22,1.63,0.02,1.17,4.57,0.32,4.1,0.05,0,0.04,2.28,0.79,1253.49
78.93,1.12,2.12,4.64,1.81,0.01,1.36,2.65,0.08,1.43,2.6,0.85,0.04,1.87,0.5,1428.9
84.17,0.5,0.51,4.22,0.86,0.02,0.09,2.95,0.55,0.39,4.72,0.1,0.04,0,0.88,886.64
66.77,0.03,13.64,7.23,1.48,0.02,0.14,3.84,0.07,4.61,0.25,0.48,0.04,1.18,0.22,863.01
68.9,1.11,6.77,10.13,0.73,0.01,1.5,1.7,0.43,2.02,3.56,0.92,0.03,1.41,0.78,1583.02
82.75,0.77,1.09,1.91,0.08,0.02,1.65,1.57,0.38,4.55,4.18,0.67,0.01,0.35,0.02,1133.13
84.63,0.67,1.15,2.72,0.36,0.03,1.23,2.75,0.25,1.86,0.48,0.23,0.04,2.94,0.65,1002.25
73.98,1.1,11.57,0.66,1.99,0,1.37,1.26,0.39,3.23,2.18,0.25,0.02,1.02,0.96,1573.33
73.17,0.25,14.6,3.14,0.42,0.02,1.76,0.66,0.12,2.47,1.38,0.57,0.02,1.3,0.11,858.96
56.58,0.18,14.78,17.72,0.47,0.01,0.11,3.04,0.72,1.86,3.4,0.71,0.05,0.19,0.19,1013.23
76.85,0.11,4.92,5.95,1.12,0.01,0.15,3.65,0.3,2.26,0.64,0.8,0.03,2.7,0.5,764.23
59.01,1.13,16.05,11.53,1.87,0.02,0.73,0.23,0.59,3.61,3.87,0.15,0.02,0.53,0.66,1711.45
77.07,1.02,8.25,0.48,0.99,0,1.97,2.94,0.26,2.82,0.38,0.8,0.05,2.62,0.34,1424.28
79.52,0.4,0.63,13.03,1.07,0.02,1.82,0.84,0.01,0.37,1.12,0.03,0.03,0.94,0.18,749.28
70.63,0.83,6.29,10.24,1.87,0,1,4.27,0.59,1.38,1.99,0.68,0.04,0.12,0.07,1402.36
78.89,0.4,4.19,5.3,0.44,0.01,0.26,4.67,0.14,1.02,1.23,0.93,0.04,2.37,0.1,887.35
61.77,0.32,10.36,16.44,1.56,0.04,1.86,1.19,0.42,0.07,4.4,0.15,0.04,0.99,0.37,995.74
66.12,0.06,5.88,17.77,0.05,0.02,0.06,1.85,0.17,1.26,4.39,0.44,0.01,1.77,0.14,697.33
66.57,0.29,12.22,9.83,1.54,0.05,0.23,1.67,0.32,0.76,4.05,0.76,0.02,1.61,0.06,844.84
59.41,0.67,14.24,11.48,0.53,0.03,0.72,2.72,0.49,1.91,3.59,0.88,0,2.8,0.51,1383.46
65.61,0.57,15.03,3.55,0.32,0.03,1.74,4.46,0.64,2.63,1.66,0.98,0.02,2.23,0.53,1308.72
58.4,0.73,7.08,19.3,1.14,0.05,0.02,2.86,0.72,3.73,4.52,0,0,1.42,0.03,1397.88
75.28,0.63,6.84,0.89,0.67,0.02,1.98,1.04,0.54,4.94,3.96,0.99,0.05,1.47,0.7,1155.87
64.02,0.14,7.94,16.18,1.01,0.04,1.49,1.27,0.88,2.3,1.05,0.87,0.02,2.25,0.55,891.61
75.34,0.71,7.03,2.19,1.79,0,1.73,1.8,0.64,4.61,0.76,0.57,0.04,2.27,0.53,1244.78
59.62,0.75,13.64,16.82,1.52,0.02,1.99,2.17,0.02,1.81,0.64,0.12,0.01,0.16,0.69,1439.5
53.66,1.16,15.76,17.52,0.35,0.01,0.15,3.89,0.07,2.78,1.24,0.24,0.05,2.27,0.84,1791.73
51.7,0.69,15.68,12.91,1.89,0.01,1.19,3.45,0.39,4.4,4.9,0.49,0.02,1.42,0.85,1559.91
73.91,0.66,0.31,15.57,0.66,0.02,1.6,0.23,0.16,1.99,1.15,0.34,0.05,2.48,0.88,1060.69
74.12,1.13,6.14,5.94,0.47,0.04,1.36,1.18,0.38,2.53,2.64,0.89,0.02,2.73,0.44,1487.43
80.97,1.09,1.03,4.11,0.95,0.02,1.28,4.72,0.11,2.26,0.96,0.89,0.05,1.44,0.1,1444.91
66.97,0.94,12.55,7.09,1.77,0.05,1.12,2.83,0.3,2.92,2.2,0.3,0,0.76,0.2,1582.05
69.65,0.73,6.99,8.42,1.67,0.02,1.98,2.2,0.65,0.25,3.27,0.85,0.05,2.99,0.28,1264.52
68.07,0.69,8.11,11.28,0.31,0.04,1.82,2.25,0.28,0.7,3.42,0.31,0.05,2.01,0.65,1189.29
51.47,1.12,11.3,19.88,1.07,0.04,0.11,3.16,0.76,3.89,3.85,0.23,0.05,2.99,0.08,1814.01
67.26,1.12,5.21,13.79,0.68,0.05,0.2,2.49,0.43,1.63,3.23,0.13,0.04,2.94,0.8,1557.71
80.05,0.4,9.31,0.91,1.89,0.01,1.81,0.42,0.82,0.76,0.19,0.72,0.01,2.14,0.56,907.88
62.16,0.14,16.78,9.05,1.47,0.03,1.21,1.51,0.2,2.71,2.2,0.39,0.03,2.07,0.05,856.62
83.14,0.13,4.25,1.03,1.99,0.04,0.17,0.1,0.72,2.2,3.93,0.92,0.03,0.56,0.78,545.16
61.13,1.15,10.44,13.64,0.67,0.02,1.47,4.64,0.63,3.95,0.86,0.21,0.03,0.53,0.63,1852.65
79.74,0.97,8.35,3.62,1.29,0.05,1.25,0.18,0.02,1.6,0.98,0.81,0.04,0.78,0.33,1226.69
60.49,0.29,16.35,10.05,1.31,0.02,1.26,1.93,0.34,3.17,2.96,0.29,0.01,1.11,0.42,1098.28
74.47,0.05,4.39,3.87,1,0.02,1.46,1.21,0.59,4.42,4.55,0.96,0.04,2.72,0.23,682.27
67.22,0.25,0.12,14.14,1.87,0.01,1.27,3.73,0.93,3.23,4.85,0.34,0.02,1.63,0.38,1009.15
75.35,0.42,9.4,7.2,0.03,0.03,0.25,0.4,0.76,0.05,4.8,0.52,0.05,0.17,0.58,890.67
67.88,0.43,15.18,7.22,0.52,0.04,0.75,0.08,0.39,3.27,1.27,0.43,0,1.76,0.76,988.9
82.41,0.12,3.63,3.09,0.96,0.03,1.9,0.37,0.6,2.63,2.58,0.87,0.01,0.12,0.67,563.5
80.89,0.42,0.32,5.03,0.62,0.03,0.35,2.07,0.48,2.3,4.87,0.05,0.05,1.75,0.8,818.31
62.02,1.06,16.13,4.77,0.4,0.02,1.8,1.61,0.65,3.54,3.89,0.56,0.02,2.9,0.61,1598.73
67.86,0.88,6.21,13.4,0.52,0.01,1.43,2.61,0.68,1.35,2.99,0.44,0.03,0.87,0.72,1394.17
61.64,0.37,11.9,13.91,1.41,0.03,0.79,1.97,0.25,0.78,3.46,0.09,0.05,2.48,0.86,1066.17
62.98,1.09,7.35,16.93,0.32,0,1.57,0.37,0.99,3.37,3.77,0.25,0.03,0.13,0.84,1649.16
81.02,0.28,1.23,9.63,0.34,0.04,0.48,1.71,0.57,1.42,1.89,0.82,0.01,0.25,0.33,692.93
68.62,0.52,9.77,7.45,1.58,0,0.86,1.91,0.65,4.83,2.55,0.99,0.02,0.09,0.17,1134.14
73.49,0.13,7.79,6.76,0.25,0.01,1.77,1.51,0.71,3.06,2.14,0.24,0.02,1.78,0.35,733.4
64.17,0.27,2.1,17.6,0.88,0.03,0.98,4.36,0.55,2.4,4.62,0.72,0.01,0.53,0.79,1021.64
66.39,0.67,11.37,8.78,1.36,0.01,1.92,3.75,0.63,1.58,0.8,0.41,0.03,1.9,0.38,1367.68
71.69,0.74,14.65,0.53,0.9,0.04,1.09,3.26,0.52,4.96,0.27,0.49,0,0.48,0.38,1374.06
53.38,0.77,9.61,16.31,1.25,0,1.53,3.73,0.51,4.51,4.54,0.52,0.03,2.99,0.3,1588.81
64.12,0.4,3.29,17.92,1.49,0.01,1.96,3.65,0.85,0.24,2.52,0.7,0.03,2,0.82,1129.52
81.56,0.2,4.88,0.87,0.73,0.02,1.61,3.27,0.44,3.26,0.26,0.18,0.03,1.92,0.77,774.45
61.04,0.49,13.01,13.68,1.93,0.01,1.1,3.01,1,1.01,2.62,0.35,0.03,0.7,0.05,1168.63
78.59,0.23,5.83,0.99,1.9,0.03,1.63,2.12,0.9,2.42,2.87,0.49,0.04,1.7,0.27,823.66
64.12,0.18,10.91,9.78,0.19,0.02,1.03,4.13,0.08,1.74,4.11,0.65,0.01,2.54,0.49,942.43
77.83,1.14,6.45,2.81,0.65,0,0.04,1.98,0.94,4.36,2.56,0.57,0,0.65,0.02,1551.84
63.75,0.91,2.62,17.38,1.29,0.01,0.32,3.14,0.9,3.59,1.74,0.59,0.02,3,0.75,1497.14
84.12,0.75,6.15,0.58,0.79,0.05,1.25,0.42,0.88,1.34,1.22,0.3,0.03,1.63,0.49,1122.6
66.57,0.86,5.7,15.64,0.35,0.04,1.33,3.42,0.48,3.34,0.4,0.85,0,0.45,0.58,1445.28
53.19,1.11,17.52,12.12,0.96,0.04,0.66,2.47,0.92,4.78,4.64,0.26,0.01,0.89,0.44,1861.34
68.47,0.38,6.74,12.41,1.53,0.04,1.63,0.16,0.05,3.95,2.67,0.58,0,0.77,0.64,1071.71
65.09,1,9.68,10.34,1.81,0.04,1.82,1.09,0.52,4.21,0.56,0.79,0.01,2.42,0.61,1569.67
63.66,0.24,8.52,13.64,1.27,0.02,1.8,2.6,0.51,0.31,4.61,0.18,0.03,2.41,0.22,875.01
55.59,0.91,10.16,17.12,1.79,0.03,1.45,2.75,0.38,3.24,4.54,0.42,0.02,1.17,0.44,1619.83
67.99,0.1,8.97,9.89,1.18,0.02,1.23,4.39,0.96,2.92,0.21,0.97,0.04,1.01,0.15,878.6
54.07,0.06,16.24,10.82,1.4,0.04,1.58,4.41,0.97,2.2,4.75,0.72,0,2.05,0.69,1042.9
71.42,1.09,6.71,11.7,0.02,0.02,0.12,2.61,0.82,1.03,2.64,0.2,0.01,1.53,0.08,1495.56
62.66,0.14,9.9,11.83,0.06,0.03,1.68,3.61,0.13,2.96,3.36,0.04,0.04,2.72,0.85,921.6
59.76,0.99,13.41,12.67,1.36,0.04,1.32,1.64,0.38,4.49,0.09,0.7,0.05,2.12,0.99,1619.39
75.94,0.54,5.62,5.37,0.86,0.02,1.27,4.07,0.3,1.07,3.33,0.67,0.05,0.05,0.85,1107.05
70.93,0.63,11.18,1.83,0.87,0.01,0.51,2.52,0.81,3.72,2.95,0.54,0.02,2.92,0.56,1227.47
74.99,0.74,9.41,0.15,1.66,0.04,1.32,0.34,0.36,4.68,4.31,0.29,0.01,1.35,0.36,1206.2
61.39,0.82,17.4,7.26,0.12,0.04,0.08,4.76,0.66,4.71,1,0.04,0.02,1.35,0.33,1543.53
68.22,0.88,13.09,8.5,1.85,0.01,0.53,0.32,0.8,3.11,1.57,0.16,0,0.5,0.45,1451.19
71.04,0.3,4.66,17.51,1.03,0.04,0.07,1.83,0.48,0.93,0.6,0.87,0.05,0.24,0.35,844.49
71.3,1.17,8.48,3.25,0.4,0.04,1.82,3.04,0.77,3.7,3.31,0.83,0.03,1.6,0.24,1652.08
71.1,0.9,8.52,5.9,1.6,0.03,1.87,0.83,0.65,1.22,4.52,0.1,0.03,2.37,0.35,1309.56
66.94,1.07,17.41,1.41,0.94,0.03,0.19,1.89,0.32,2.68,3.31,0.7,0.01,2.44,0.68,1576.91
53.99,1.07,8.09,17.88,1.73,0.02,0.76,4.66,0.72,4.64,3.98,0.61,0.01,0.87,0.97,1848.08
64.35,0.85,13.21,5.71,0.6,0.02,0.04,3.95,0.32,4.27,4.01,0.66,0.02,1.55,0.44,1509.12
60.98,0.41,15.27,9.67,1.67,0.01,0.28,4.89,0.59,2.55,2.62,0.22,0.04,0.25,0.57,1276.38
73.45,0.64,2.47,11.46,0.18,0.01,0.06,2.57,0.08,2.35,4.66,0.72,0,0.67,0.67,1131.32
67.31,1.07,0.59,16.25,1.12,0.03,1.92,3.74,0.85,1.77,2.77,0.62,0.02,1.71,0.24,1576.84
59.96,0.89,16.49,9.15,1.29,0.01,1.81,2.84,0.78,3.97,1.28,0.53,0.05,0.27,0.68,1598.85
62.09,1.16,5.41,17.23,1.87,0.04,0.46,1.67,0.04,4.16,4.25,0.63,0.02,0.23,0.75,1699.46
58.93,0.88,14.92,14.92,1.26,0.02,1.8,3.25,0.4,0.42,1.45,0.54,0.01,0.66,0.53,1550.48
61.52,0.21,14.41,9.69,1.15,0.01,0.65,2.05,0.81,3.85,1.11,0.62,0.01,2.96,0.95,1100.81
56.74,0.96,12.98,14,1.92,0.03,1.27,4.25,0.67,3.66,1.17,0.37,0.01,1.52,0.46,1746.59
56.14,1.2,11,15.73,0.67,0.04,1.23,3.48,0.29,2.74,3.17,0.59,0.05,2.69,0.97,1810.2
80.18,0.52,4.29,0.08,0.38,0,1.44,2.13,0.31,3.81,4.16,0.98,0.03,1.38,0.31,1019.17
78.61,0.27,3.83,8.18,1.98,0,0.39,0.94,0.72,1.76,2.29,0.15,0.02,0.31,0.53,797.78
62.49,0.68,13.03,8.37,0.76,0,1.05,2.57,0.47,3.7,4.16,0.75,0.01,1.87,0.08,1363.32
75.41,0.84,6.87,2.65,1.72,0.03,0.71,0.15,0.54,4.62,2.98,0.97,0.01,1.7,0.8,1276.46
59.42,0.7,11.01,14.57,1.52,0.04,1.33,1.08,0.4,3.88,4.77,0.08,0.03,0.94,0.23,1360.78
77.8,0.61,10.91,0.2,1.56,0.04,1.93,0.9,0.59,2.13,1.67,0.57,0.04,0.07,0.97,1118.96
67.68,0.91,7,15.03,0.77,0.04,0.35,1.46,0.55,1.6,2.12,0.49,0.04,1.57,0.36,1390.03
69.44,0.3,7.36,10.31,1.49,0.01,0.44,1.9,0.36,1.96,3.97,0.32,0.03,1.87,0.23,925.97
64.3,0.54,14.58,4.87,1.77,0.03,1.22,4.38,0.82,3.01,3.77,0.43,0.03,0.19,0.09,1356.94
79.8,1,1.07,3.39,1.59,0,0.56,2.92,0.6,3.89,2.53,0.51,0.04,1.5,0.61,1417.06
75.03,0.47,0.06,12.27,0.06,0.03,1.61,2.75,0.27,3.93,1.35,0.73,0.03,0.51,0.91,1043.68
69.13,0.25,17.81,0.15,0.53,0.01,0.03,3.66,0.69,3.96,1.28,0.44,0.03,1.32,0.7,1005.07
59.49,0.94,12.97,13.12,0.31,0.01,0.79,1.4,0.23,4.03,3.19,0.57,0.01,2.75,0.19,1555.24
57.99,0.96,17.4,14.54,1.99,0.03,0.43,1.02,0.32,0.04,3.41,0.27,0.04,1.08,0.48,1554.72
65.83,0.27,9.02,7,1.54,0.03,0.95,3.9,0.24,3.77,4.33,0.88,0.04,1.22,0.98,1064.3
71.87,0.46,11.5,3.22,1.96,0.04,1.51,0.33,0.76,3.87,3.36,0.29,0.02,0.33,0.47,1040.27
81.18,0.2,4.14,1.53,1.84,0.03,0.79,2.68,0.63,4.61,0.89,0.3,0.05,1.11,0.02,735.47
68.41,0.19,0.47,19.8,0.56,0.05,1.99,3,0.03,0.41,2.41,0.41,0.03,1.32,0.93,846.79
80.68,1.08,2.64,4.59,0.21,0.01,1.03,1.61,0.42,4.91,0.78,0.54,0,0.96,0.53,1459.24
77,1.14,7.04,1.3,0.78,0.01,0.46,3.09,0.07,2.32,3.05,0.42,0,2.96,0.37,1503.73
69.11,0.58,6.99,6.85,0.04,0.02,1.78,3.45,0.15,2.96,4.46,0.7,0.01,2.6,0.3,1210.75
59.59,0.55,9.47,17.01,1.86,0.05,0.02,4.61,0.05,1.33,2.57,0.48,0.03,1.44,0.93,1253.79
75.07,1.11,1.38,12.19,1.36,0.03,1.39,0.86,0.85,0.7,2,0.08,0.03,2.01,0.94,1428.09
58.02,0.89,9.74,18.65,0.96,0.03,1.19,2.05,0.84,0.93,2.77,0.72,0.05,2.65,0.51,1461.98
46.72,0.57,16.31,18.61,1.79,0.01,1.7,4.74,0.36,2.59,3.9,0.56,0.05,1.37,0.71,1566.57
59.72,0.95,8.89,17.14,1.09,0.02,0.22,1.97,0.73,4.61,1.26,0.36,0.01,2.07,0.96,1663.87
63.08,0.67,1.59,14.59,1.2,0.03,1.8,3.92,0.78,4.64,4.95,0.58,0.01,1.38,0.79,1443.82
88.76,0.04,1.02,1.34,1.46,0.03,0.74,0.53,0.73,1.61,1.33,0.65,0.03,1.09,0.64,486.93
69.06,0.28,2.86,15.65,1.42,0.01,0.23,4.19,0.78,1.64,3.29,0.12,0.03,0.06,0.39,948.05
68.31,0.1,8.55,8.43,0.89,0,0.72,3.78,0.37,3.58,1.85,0.42,0.03,2.85,0.11,848.48
56.7,1.14,17.82,9.68,0.94,0.03,1.11,3.17,0.87,3.73,2.48,0.46,0.03,1.37,0.46,1832.5
71.32,0.03,3.13,9.77,1.65,0.01,1.05,1.72,0.1,4.79,4.27,0.08,0.04,1.04,0.99,698.01
68.06,0.69,15.03,3.85,1.42,0,1.84,0.41,0.91,2.45,2.24,0.97,0.05,1.95,0.13,1233.89
64.79,0.61,9.52,10.29,1.14,0,1.42,3.56,0.12,2.85,2.84,0.68,0,1.88,0.28,1332.83
72.68,0.85,2.14,11.82,1.94,0.01,1.71,3.51,0.77,1.41,1.44,0.91,0.02,0.19,0.6,1382.48
57.55,0.16,14.34,12.83,1.75,0.04,0.22,1.91,0.77,2.09,4.86,0.74,0,2.64,0.1,975.1
70.91,1.04,9.65,5.78,0.7,0.02,0.65,1.21,0.61,4.5,1.54,0.19,0.04,2.23,0.93,1520.53
75.08,0.21,2.6,10.83,1.23,0.02,1.2,0.9,0.48,3.29,2.16,0.68,0.02,1,0.3,748.01
68.78,0.81,15.21,7.09,0.09,0.05,0.53,0.63,0.37,3.69,1.47,0.57,0.02,0.35,0.33,1316.7
76.9,0.87,11.02,2.4,0.33,0.03,1.63,1.75,0.6,0.85,1.56,0.02,0.04,1.2,0.82,1319.27
68.21,0.35,3.33,19.44,1.43,0.04,0.03,1.77,0.74,0.39,2.84,0.43,0,0.71,0.28,933.15
72.54,0.14,11.37,4.85,0.56,0.04,0.93,1.96,0.72,4.55,0.13,0.45,0.03,0.96,0.77,813.31
75.58,1.15,8.26,4.17,1.41,0.01,0.53,4.4,0.16,0.32,1.35,0.61,0.01,1.41,0.63,1553.58
72.59,1.02,4.14,16.35,0.47,0.03,0.86,0.57,0.71,1.09,0.88,0.36,0.03,0.7,0.18,1363.93
78.24,0.52,4.21,1.07,0.86,0.04,1.43,4.3,0.01,4.83,1.71,0.99,0.01,1.41,0.35,1075.86
55.4,0.43,15.16,14.93,1.98,0.03,0.93,0.45,1,2.76,3.5,0.41,0.03,2.83,0.17,1170.14
85.78,0.95,1.12,1.63,0.6,0.03,0.81,0.22,0.96,4.76,1.4,0.73,0.03,0.71,0.26,1233.7
74.81,0.59,7.55,5.82,1.62,0.02,1.31,0.95,0.53,1.59,2.63,0.78,0.04,1.06,0.69,1081.99
75.52,0.19,12.23,2.1,1.74,0.03,0.77,0.29,0.38,4.52,0.1,0.47,0.05,1.18,0.43,802.21
77.63,0.7,8.33,3.37,0.04,0.03,1.84,0.53,0.21,1.85,4.04,0.27,0.04,0.16,0.94,1160.2
69.2,0.45,14.08,3.33,0.1,0.02,1.71,3.77,0.52,2.86,0.65,0.84,0.04,1.97,0.47,1153.33
57.77,1.16,15.82,12.89,0.74,0.03,1.15,1.97,0.31,2.04,2.87,0.43,0.01,2.28,0.53,1741.69
66.37,1.06,13.59,6.46,1.88,0,1.92,1.23,0.01,2.17,1.79,0.54,0.04,2.53,0.4,1543.94
84.59,0.52,2.67,0.95,1.28,0,1.47,2.7,0.2,2.7,0.91,0.44,0.04,1.39,0.15,916.11
70.67,0.89,8.63,9.07,1.7,0.04,0.07,1.48,0.87,0.09,2.73,0.73,0.03,2.28,0.73,1362.52
54.62,0.83,14.79,12.91,0.8,0.02,1.43,4.38,0.27,1.71,4.65,0.58,0.01,1.99,0.99,1625.53
57.66,0.26,15.77,10.52,1.78,0.02,0.12,2.38,0.27,3.58,4.79,0.69,0.04,1.36,0.77,1109.95
60.12,1.01,12.8,10.16,1.25,0.04,0.51,4.05,0.95,2.33,3.51,0.74,0.03,1.64,0.88,1678.45
55.26,1.02,12.13,16.99,0.28,0,1.87,0.74,0.81,4.12,3.54,0.13,0.03,2.67,0.43,1671.9
73.9,0.5,7.97,1.65,1.78,0.04,2,2.93,0.75,1.01,3.34,0.65,0.05,2.49,0.94,1030.92
66.79,0.08,12.2,6.56,0.94,0.03,1.82,4.13,0.45,1.94,1.2,0.37,0.01,2.91,0.57,909.88
73,0.16,6.35,10.94,1.07,0,1.9,1.38,0.02,0.38,2.9,0.14,0,1.14,0.62,724.71
72.91,0.51,2.87,10.12,0.17,0,1.04,1.24,0.1,2.12,4.58,0.72,0.04,2.62,0.97,974.5
68.45,0.92,10.95,7.31,0.36,0.03,1.99,2.34,0.72,2.48,2.16,0.41,0.03,1.1,0.75,1484.49
65.5,0.42,5.57,14.54,0.61,0,0.75,3.61,0.33,3.15,3.3,0.73,0.04,1.3,0.17,1079.88
59.67,0.39,7.78,14.28,0.03,0.02,1.56,3.35,0.73,4.06,3.92,0.68,0.02,2.95,0.57,1161.25
